Country	Area Sq Km	Population	Density
Russia	17,075,200	142,833,689	8.0
Canada	9,984,670	35,181,704	3.0
United States of America	9,826,630	320,050,716	32.0
China	9,596,960	1,385,566,537	144.0
Brazil	8,511,965	200,361,925	23.0
Australia	7,686,850	23,342,553	3.0
India	3,287,590	1,252,139,596	380.0
Argentina	2,766,890	41,446,246	14.0
Kazakhstan	2,717,300	16,440,586	6.0
Algeria	2,381,740	39,208,194	16.0
Congo, Dem. Rep. of the	2,345,410	67,513,677	28.0
Greenland	2,166,086	56,987	0.0
Saudi Arabia	2,149,690	28,828,870	13.0
Mexico	1,972,550	122,332,399	62.0
Indonesia	1,919,440	249,865,631	130.0
Sudan	1,844,729	37,964,306	20.0
Libya	1,759,540	6,201,521	3.0
Iran	1,648,000	77,447,168	46.0
Mongolia	1,564,116	2,839,073	1.0
Peru	1,285,220	30,375,603	23.0
Chad	1,284,000	12,825,314	9.0
Niger	1,267,000	17,831,270	14.0
Angola	1,246,700	21,471,618	17.0
Mali	1,240,000	15,301,650	12.0
South Africa	1,219,912	52,776,130	43.0
Colombia	1,138,910	48,321,405	42.0
Ethiopia	1,127,127	94,100,756	83.0
Bolivia	1,098,580	10,671,200	9.0
Mauritania	1,030,700	3,889,880	3.0
Egypt	1,001,450	82,056,378	81.0
Tanzania	945,087	49,253,126	52.0
Nigeria	923,768	173,615,345	187.0
Venezuela	912,050	30,405,207	33.0
Namibia	825,418	2,303,315	2.0
Pakistan	803,940	182,142,594	226.0
Mozambique	801,590	25,833,752	32.0
Turkey	780,580	74,932,641	95.0
Chile	756,950	17,619,708	23.0
Zambia	752,614	14,538,640	19.0
Myanmar (Burma)	678,500	53,259,018	78.0
Afghanistan	647,500	30,551,674	47.0
South Sudan	644,329	11,296,173	17.0
France	643,427	64,291,280	99.0
Somalia	637,657	10,495,583	16.0
Central African Republic	622,984	4,616,417	7.0
Ukraine	603,700	45,238,805	74.0
Botswana	600,370	2,021,144	3.0
Madagascar	587,040	22,924,851	39.0
Kenya	582,650	44,353,691	76.0
Yemen	527,970	24,407,381	46.0
