Takım \ Hafta	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
Beşiktaş	1	8	3	3	2	1	1	1	1	1	1	1	2	1	1																			
Fenerbahçe	3	5	1	1	1	2	3	3	3	3	2	2	1	2	2																			
Akhisar Belediyespor	9	4	6	5	10	9	9	7	4	4	5	5	3	3	3																			
Galatasaray	7	13	10	8	8	4	2	2	2	2	3	3	4	4	4																			
İstanbul Başakşehir	13	15	12	17	11	10	13	8	5	5	4	4	5	5	5																			
Kasımpaşa	2	1	4	6	5	6	6	5	7	7	6	6	6	6	6																			
Konyaspor	11	12	16	11	12	11	4	4	6	6	7	7	7	7	7																			
Çaykur Rizespor	5	6	7	7	4	5	8	10	13	12	10	8	8	9	8																			
Antalyaspor	4	2	5	4	6	7	7	6	8	10	9	10	9	10	9																			
Trabzonspor	6	3	2	2	3	8	10	11	9	9	12	9	10	8	10																			
Gaziantepspor	18	10	14	13	9	12	11	12	10	11	13	13	11	11	11																			
Osmanlıspor	12	7	9	9	7	3	5	9	12	13	11	12	12	12	12																			
Kayserispor	10	11	8	10	13	15	16	16	15	15	15	15	13	14	13																			
Bursaspor	15	16	17	15	17	13	12	13	11	8	8	11	14	13	14																			
Sivasspor	8	14	15	14	14	14	15	15	16	16	16	16	15	16	15																			
Gençlerbirliği	14	17	13	16	15	16	14	14	14	14	14	14	16	15	16																			
Mersin İY	17	18	18	18	18	18	18	17	17	17	17	17	17	17	17																			
Eskişehirspor	16	9	11	12	16	17	17	18	18	18	18	18	18	18	18																			
